Gene stable ID	Gene name	Protein Group Accessions	HGNC ID	New name	Order	Length	Mass
ENSG00000128626	MRPS12	O15235	HGNC:10380	uS12m	12	138	15173
ENSG00000120333	MRPS14	O60783	HGNC:14049	uS14m	14	128	15139
ENSG00000132676	DAP3	P51398	HGNC:2673	mS29	29	398	45566
ENSG00000175110	MRPS22	P82650	HGNC:14508	mS22	22	360	41280
ENSG00000131368	MRPS25	P82663	HGNC:14511	mS25	25	173	20116
ENSG00000048544	MRPS10	P82664	HGNC:14502	uS10m	10	201	22999
ENSG00000061794	MRPS35	P82673	HGNC:16635	mS35	35	323	36844
ENSG00000144029	MRPS5	P82675	HGNC:14498	uS5m	5	430	48006
ENSG00000181991	MRPS11	P82912	HGNC:14050	uS11m	11	194	20616
ENSG00000116898	MRPS15	P82914	HGNC:14504	uS15m	15	257	29842
ENSG00000266472	MRPS21	P82921	HGNC:14046	bS21m	21	87	10689
ENSG00000074071	MRPS34	P82930	HGNC:16618	mS34	34	218	25650
ENSG00000243927	MRPS6	P82932	HGNC:14051	bS6m	6	125	14227
ENSG00000135972	MRPS9	P82933	HGNC:14501	uS9m	9	396	45835
ENSG00000113048	MRPS27	Q92552	HGNC:14512	mS27	27	414	47611
ENSG00000102738	MRPS31	Q92665	HGNC:16632	mS31	31	395	45318
ENSG00000172586	CHCHD1	Q96BP2	HGNC:23518	mS37	37	118	13475
ENSG00000062582	MRPS24	Q96EL2	HGNC:14510	uS3m	3	167	19015
ENSG00000132300	PTCD3	Q96EY7	HGNC:24717	mS39	39	689	78550
ENSG00000125901	MRPS26	Q9BYN8	HGNC:14045	mS26	26	205	24212
ENSG00000175756	AURKAIP1	Q9NWT8	HGNC:24114	mS38	38	199	22354
ENSG00000090263	MRPS33	Q9Y291	HGNC:16634	mS33	33	106	12629
ENSG00000147586	MRPS28	Q9Y2Q9	HGNC:14513	bS1m	1	187	20843
ENSG00000239789	MRPS17	Q9Y2R5	HGNC:14047	uS17m	17	130	14502
ENSG00000125445	MRPS7	Q9Y2R9	HGNC:14499	uS7m	7	242	28134
ENSG00000122140	MRPS2	Q9Y399	HGNC:14495	uS2m	2	296	33249
ENSG00000182180	MRPS16	Q9Y3D3	HGNC:14048	bS16m	16	137	15345
ENSG00000163319	MRPS18C	Q9Y3D5	HGNC:16633	bS18m	18	142	15850
ENSG00000181610	MRPS23	Q9Y3D9	HGNC:14509	mS23	23	190	21771
ENSG00000204568	MRPS18B	Q9Y676	HGNC:14516	mS40	40	258	29396
