Gene name	Protein Group Accessions	Protein names	Gene names	Length	Mass	Position within complex	Gene stable ID	HGNC ID
CYC1	P08574	"Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)"	CYC1	325	"35,422"	CIII_core	ENSG00000179091	HGNC:2579
MT-CYB	P00156	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	MT-CYB COB CYTB MTCYB	380	"42,718"	CIII_core	ENSG00000198727	HGNC:7427
UQCR10	Q9UDW1	Cytochrome b-c1 complex subunit 9 (Complex III subunit 9) (Complex III subunit X) (Cytochrome c1 non-heme 7 kDa protein) (Ubiquinol-cytochrome c reductase complex 7.2 kDa protein)	UQCR10 UCRC HSPC119	63	"7,308"	NA	ENSG00000184076	HGNC:30863
UQCR11	O14957	Cytochrome b-c1 complex subunit 10 (Complex III subunit 10) (Complex III subunit XI) (Ubiquinol-cytochrome c reductase complex 6.4 kDa protein)	UQCR11 UQCR	56	"6,570"	NA	ENSG00000127540	HGNC:30862
UQCRB	P14927	Cytochrome b-c1 complex subunit 7 (Complex III subunit 7) (Complex III subunit VII) (QP-C) (Ubiquinol-cytochrome c reductase complex 14 kDa protein)	UQCRB UQBP	111	"13,530"	NA	ENSG00000156467	HGNC:12582
UQCRC1	P31930	"Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome-c reductase complex core protein 1)"	UQCRC1	480	"52,646"	CIII_core	ENSG00000010256	HGNC:12585
UQCRC2	P22695	"Cytochrome b-c1 complex subunit 2, mitochondrial (Complex III subunit 2) (Core protein II) (Ubiquinol-cytochrome-c reductase complex core protein 2)"	UQCRC2	453	"48,443"	CIII_core	ENSG00000140740	HGNC:12586
UQCRFS1	P47985	"Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 7.1.1.8) (Complex III subunit 5) (Cytochrome b-c1 complex subunit 5) (Rieske iron-sulfur protein) (RISP) (Rieske protein UQCRFS1) (Ubiquinol-cytochrome c reductase iron-sulfur subunit) [Cleaved into: Cytochrome b-c1 complex subunit 9 (Su9) (Subunit 9) (8 kDa subunit 9) (Complex III subunit IX) (Cytochrome b-c1 complex subunit 11) (UQCRFS1 mitochondrial targeting sequence) (UQCRFS1 MTS) (Ubiquinol-cytochrome c reductase 8 kDa protein)]"	UQCRFS1	274	"29,668"	CIII_core	ENSG00000169021	HGNC:12587
UQCRH	P07919	"Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VIII) (Cytochrome c1 non-heme 11 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c reductase complex 11 kDa protein)"	UQCRH	91	"10,739"	NA	ENSG00000173660	HGNC:12590
UQCRHL	A0A096LP55	"Cytochrome b-c1 complex subunit 6-like, mitochondrial"	UQCRHL	91	"10,752"	NA	ENSG00000233954	HGNC:51714
UQCRQ	O14949	Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C)	UQCRQ	82	"9,906"	NA	ENSG00000164405	HGNC:29594
