Gene stable ID	Gene name	Protein Group Accessions	HGNC ID	New name	Order	Length	Mass
ENSG00000243147	MRPL33	O75394	HGNC:14487	bL33m	33	65	7619
ENSG00000114686	MRPL3	P09001	HGNC:10379	uL3m	3	348	38633
ENSG00000115364	MRPL19	P49406	HGNC:14052	bL19m	19	292	33535
ENSG00000262814	MRPL12	P52815	HGNC:10378	bL12m	12	198	21348
ENSG00000086504	MRPL28	Q13084	HGNC:14484	bL28m	28	256	30157
ENSG00000149792	MRPL49	Q13405	HGNC:1176	mL49	49	166	19198
ENSG00000167862	MRPL58	Q14197	HGNC:5359	mL62	62	206	23630
ENSG00000214026	MRPL23	Q16540	HGNC:10322	uL23m	23	153	17781
ENSG00000111639	MRPL51	Q4U2R6	HGNC:14044	mL51	51	128	15095
ENSG00000112651	MRPL2	Q5T653	HGNC:14056	uL2m	2	305	33301
ENSG00000183617	MRPL54	Q6P161	HGNC:16685	mL54	54	138	15819
ENSG00000180992	MRPL14	Q6P1L8	HGNC:14279	uL14m	14	145	15948
ENSG00000197345	MRPL21	Q7Z2W9	HGNC:14479	bL21m	21	205	22815
ENSG00000162910	MRPL55	Q7Z7F7	HGNC:16686	bL31m	31	128	15128
ENSG00000159111	MRPL10	Q7Z7H8	HGNC:14055	uL10m	10	261	29283
ENSG00000172590	MRPL52	Q86TS9	HGNC:16655	mL52	52	123	13664
ENSG00000182154	MRPL41	Q8IXM3	HGNC:14492	mL41	41	137	15383
ENSG00000136897	MRPL50	Q8N5N7	HGNC:16654	mL50	50	158	18325
ENSG00000055950	MRPL43	Q8N983	HGNC:14517	mL43	43	215	23431
ENSG00000179271	GADD45GIP1	Q8TAE8	HGNC:29996	mL64	64	222	25384
ENSG00000185414	MRPL30	Q8TCC3	HGNC:14036	uL30m	30	161	18546
ENSG00000143314	MRPL24	Q96A35	HGNC:14037	uL24m	24	216	24915
ENSG00000204316	MRPL38	Q96DV4	HGNC:14033	mL38	38	380	44597
ENSG00000204822	MRPL53	Q96EL3	HGNC:16684	mL53	53	112	12107
ENSG00000175581	MRPL48	Q96GC5	HGNC:16653	mL48	48	212	23935
ENSG00000130312	MRPL34	Q9BQ48	HGNC:14488	bL34m	34	92	10165
ENSG00000173141	MRPL57	Q9BQC6	HGNC:14514	mL63	63	102	12266
ENSG00000278845	MRPL45	Q9BRJ2	HGNC:16651	mL45	45	306	35351
ENSG00000106591	MRPL32	Q9BYC8	HGNC:14035	bL32m	32	188	21405
ENSG00000242485	MRPL20	Q9BYC9	HGNC:14478	bL20m	20	149	17443
ENSG00000172172	MRPL13	Q9BYD1	HGNC:14278	uL13m	13	178	20692
ENSG00000143436	MRPL9	Q9BYD2	HGNC:14277	bL9m	9	267	30243
ENSG00000105364	MRPL4	Q9BYD3	HGNC:14276	uL4m	4	311	34919
ENSG00000169288	MRPL1	Q9BYD6	HGNC:14275	uL1m	1	325	36909
ENSG00000116221	MRPL37	Q9BZE1	HGNC:14034	mL37	37	423	48117
ENSG00000112110	MRPL18	Q9H0U6	HGNC:14477	uL18m	18	180	20577
ENSG00000259494	MRPL46	Q9H2W6	HGNC:1192	mL46	46	279	31705
ENSG00000135900	MRPL44	Q9H9J2	HGNC:16650	mL44	44	332	37535
ENSG00000136522	MRPL47	Q9HD33	HGNC:16652	uL29m	29	250	29450
ENSG00000112996	MRPS30	Q9NP92	HGNC:8769	mL65	65	439	50365
ENSG00000185608	MRPL40	Q9NQ50	HGNC:14491	mL40	40	206	24490
ENSG00000158042	MRPL17	Q9NRX2	HGNC:14053	bL17m	17	175	20050
ENSG00000096080	MRPS18A	Q9NVS2	HGNC:14515	mL66	66	196	22184
ENSG00000082515	MRPL22	Q9NWU5	HGNC:14480	uL22m	22	206	23641
ENSG00000166902	MRPL16	Q9NX20	HGNC:14476	uL16m	16	251	28449
ENSG00000154719	MRPL39	Q9NYK5	HGNC:14027	mL39	39	338	38712
ENSG00000132313	MRPL35	Q9NZE8	HGNC:14489	bL35m	35	188	21514
ENSG00000137547	MRPL15	Q9P015	HGNC:14054	uL15m	15	296	33420
ENSG00000171421	MRPL36	Q9P0J6	HGNC:14490	bL36m	36	103	11784
ENSG00000108826	MRPL27	Q9P0M9	HGNC:14483	bL27m	27	148	16073
ENSG00000174547	MRPL11	Q9Y3B7	HGNC:14042	uL11m	11	192	20683
ENSG00000198015	MRPL42	Q9Y6G3	HGNC:14493	mL42	42	142	16661
