Gene name	Position within complex	Module	Protein Group Accessions	Protein names	Gene names	Length	Mass	Gene stable ID	HGNC ID	Order
NDUFB5	NA	ND4_module	O43674	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial (Complex I-SGDH) (CI-SGDH) (NADH-ubiquinone oxidoreductase SGDH subunit)"	NDUFB5	189	"21,750"	ENSG00000136521	HGNC:7700	1
NDUFB10	NA	ND4_module	O96000	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 (Complex I-PDSW) (CI-PDSW) (NADH-ubiquinone oxidoreductase PDSW subunit)	NDUFB10	172	"20,777"	ENSG00000140990	HGNC:7696	2
NDUFB11	NA	ND4_module	Q9NX14	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial (Complex I-ESSS) (CI-ESSS) (NADH-ubiquinone oxidoreductase ESSS subunit) (Neuronal protein 17.3) (Np17.3) (p17.3)"	NDUFB11 UNQ111/PRO1064	153	"17,317"	ENSG00000147123	HGNC:20372	3
NDUFB6	NA	ND4_module	O95139	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 (Complex I-B17) (CI-B17) (NADH-ubiquinone oxidoreductase B17 subunit)	NDUFB6	128	"15,489"	ENSG00000165264	HGNC:7701	4
NDUFB1	NA	ND4_module	O75438	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1 (Complex I-MNLL) (CI-MNLL) (NADH-ubiquinone oxidoreductase MNLL subunit)	NDUFB1	58	"6,961"	ENSG00000183648	HGNC:7695	5
MT-ND4	CI_core	ND4_module	P03905	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2) (NADH dehydrogenase subunit 4)	MT-ND4 MTND4 NADH4 ND4	459	"51,581"	ENSG00000198886	HGNC:7459	6
NDUFB4	NA	ND4_module	O95168	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 (Complex I-B15) (CI-B15) (NADH-ubiquinone oxidoreductase B15 subunit)	NDUFB4	129	"15,209"	ENSG00000065518	HGNC:7699	7
MT-ND2	CI_core	ND2_module	P03891	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)	MT-ND2 MTND2 NADH2 ND2	347	"38,961"	ENSG00000198763	HGNC:7456	8
NDUFC1	NA	ND2_module	O43677	"NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial (Complex I-KFYI) (CI-KFYI) (NADH-ubiquinone oxidoreductase KFYI subunit)"	NDUFC1	76	"8,734"	ENSG00000109390	HGNC:7705	9
NDUFC2	NA	ND2_module	O95298	NADH dehydrogenase [ubiquinone] 1 subunit C2 (Complex I-B14.5b) (CI-B14.5b) (Human lung cancer oncogene 1 protein) (HLC-1) (NADH-ubiquinone oxidoreductase subunit B14.5b)	NDUFC2 HLC1	119	"14,188"	ENSG00000151366	HGNC:7706	10
MT-ND3	CI_core	ND2_module	P03897	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2) (NADH dehydrogenase subunit 3)	MT-ND3 MTND3 NADH3 ND3	115	"13,186"	ENSG00000198840	HGNC:7458	11
MT-ND6	CI_core	ND2_module	P03923	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2) (NADH dehydrogenase subunit 6)	MT-ND6 MTND6 NADH6 ND6	174	"18,622"	ENSG00000198695	HGNC:7462	12
MT-ND4L	CI_core	ND2_module	P03901	NADH-ubiquinone oxidoreductase chain 4L (EC 7.1.1.2) (NADH dehydrogenase subunit 4L)	MT-ND4L MTND4L NADH4L ND4L	98	"10,741"	ENSG00000212907	HGNC:7460	13
NDUFA1	NA	ND2_module	O15239	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 (Complex I-MWFE) (CI-MWFE) (NADH-ubiquinone oxidoreductase MWFE subunit)	NDUFA1	70	"8,072"	ENSG00000125356	HGNC:7683	14
NDUFA10	NA	ND2_module	O95299	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Complex I-42kD) (CI-42kD) (NADH-ubiquinone oxidoreductase 42 kDa subunit)"	NDUFA10	355	"40,751"	ENSG00000130414	HGNC:7684	15
NDUFA11	NA	ND2_module	Q86Y39	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 (Complex I-B14.7) (CI-B14.7) (NADH-ubiquinone oxidoreductase subunit B14.7)	NDUFA11	141	"14,852"	ENSG00000174886	HGNC:20371	16
NDUFS5	NA	ND2_module	O43920	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 (Complex I-15 kDa) (CI-15 kDa) (NADH-ubiquinone oxidoreductase 15 kDa subunit)	NDUFS5	106	"12,518"	ENSG00000168653	HGNC:7712	17
NDUFA5	NA	Q_module	Q16718	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Complex I subunit B13) (Complex I-13kD-B) (CI-13kD-B) (NADH-ubiquinone oxidoreductase 13 kDa-B subunit)	NDUFA5	116	"13,459"	ENSG00000128609	HGNC:7688	18
NDUFS2	CI_core	Q_module	O75306	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)"	NDUFS2	463	"52,546"	ENSG00000158864	HGNC:7708	19
NDUFS3	CI_core	Q_module	O75489	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 7.1.1.2) (Complex I-30kD) (CI-30kD) (NADH-ubiquinone oxidoreductase 30 kDa subunit)"	NDUFS3	264	"30,242"	ENSG00000213619	HGNC:7710	20
NDUFS7	CI_core	Q_module	O75251	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial (EC 7.1.1.2) (Complex I-20kD) (CI-20kD) (NADH-ubiquinone oxidoreductase 20 kDa subunit) (PSST subunit)"	NDUFS7	213	"23,564"	ENSG00000115286	HGNC:7714	21
NDUFS8	CI_core	Q_module	O00217	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit) (TYKY subunit)"	NDUFS8	210	"23,705"	ENSG00000110717	HGNC:7715	22
NDUFA9	NA	Q_module	Q16795	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial (Complex I-39kD) (CI-39kD) (NADH-ubiquinone oxidoreductase 39 kDa subunit)"	NDUFA9 NDUFS2L	377	"42,510"	ENSG00000139180	HGNC:7693	23
MT-ND1	CI_core	Q_ND1_module	P03886	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (NADH dehydrogenase subunit 1)	MT-ND1 MTND1 NADH1 ND1	318	"35,661"	ENSG00000198888	HGNC:7455	24
NDUFA13	NA	Q_ND1_module	Q9P0J0	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Cell death regulatory protein GRIM-19) (Complex I-B16.6) (CI-B16.6) (Gene associated with retinoic and interferon-induced mortality 19 protein) (GRIM-19) (Gene associated with retinoic and IFN-induced mortality 19 protein) (NADH-ubiquinone oxidoreductase B16.6 subunit)	NDUFA13 GRIM19 CDA016 CGI-39	144	"16,698"	ENSG00000186010	HGNC:17194	25
NDUFA3	NA	Q_ND1_module	O95167	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 (Complex I-B9) (CI-B9) (NADH-ubiquinone oxidoreductase B9 subunit)	NDUFA3	84	"9,279"	ENSG00000170906	HGNC:7686	26
